step,time,loss,acc
0,2024-06-17T11:11:11.046435,0.7064,0.4492
5,2024-06-17T11:11:12.799123,0.6932,0.4570
10,2024-06-17T11:11:13.882212,0.1972,0.9727
15,2024-06-17T11:11:15.202894,0.0707,0.9766
20,2024-06-17T11:11:16.103539,0.0561,0.9844
25,2024-06-17T11:11:17.282521,0.0029,1.0000
30,2024-06-17T11:11:18.403204,0.0025,1.0000
35,2024-06-17T11:11:19.500067,0.0376,0.9922
40,2024-06-17T11:11:20.380291,0.0313,0.9922
45,2024-06-17T11:11:21.507792,0.0004,1.0000
50,2024-06-17T11:11:22.388397,0.0000,1.0000
55,2024-06-17T11:11:23.375485,0.0002,1.0000
60,2024-06-17T11:11:24.158517,0.0031,1.0000
65,2024-06-17T11:11:25.235248,0.0120,0.9961
70,2024-06-17T11:11:26.163969,0.0018,1.0000
75,2024-06-17T11:11:26.997184,0.0000,1.0000
80,2024-06-17T11:11:27.811258,0.0020,1.0000
85,2024-06-17T11:11:28.830546,0.0001,1.0000
90,2024-06-17T11:11:29.432507,0.0000,1.0000
95,2024-06-17T11:11:30.347883,0.0171,0.9961
100,2024-06-17T11:11:30.950698,0.0002,1.0000
105,2024-06-17T11:11:31.884741,0.0067,0.9961
110,2024-06-17T11:11:32.603644,0.0204,0.9961
115,2024-06-17T11:11:33.498372,0.0056,1.0000
120,2024-06-17T11:11:34.246996,0.0336,0.9961
125,2024-06-17T11:11:35.096314,0.0040,1.0000
130,2024-06-17T11:11:35.992212,0.0334,0.9961
135,2024-06-17T11:11:36.923040,0.0030,1.0000
140,2024-06-17T11:11:37.590798,0.0013,1.0000
145,2024-06-17T11:11:38.439121,0.0006,1.0000
150,2024-06-17T11:11:39.121395,0.0007,1.0000
155,2024-06-17T11:11:45.845737,0.0141,0.9961
160,2024-06-17T11:11:46.488061,0.0002,1.0000
165,2024-06-17T11:11:47.416136,0.0004,1.0000
170,2024-06-17T11:11:48.106339,0.0003,1.0000
175,2024-06-17T11:11:49.082135,0.0024,1.0000
180,2024-06-17T11:11:49.822862,0.0209,0.9961
185,2024-06-17T11:11:50.770814,0.0001,1.0000
190,2024-06-17T11:11:51.446357,0.0007,1.0000
195,2024-06-17T11:11:52.465715,0.0000,1.0000
200,2024-06-17T11:11:53.155323,0.0509,0.9922
205,2024-06-17T11:11:54.018479,0.0022,1.0000
210,2024-06-17T11:11:54.719554,0.0079,0.9961
215,2024-06-17T11:11:55.680313,0.0008,1.0000
220,2024-06-17T11:11:56.489204,0.0005,1.0000
225,2024-06-17T11:11:57.365528,0.0005,1.0000
230,2024-06-17T11:11:58.078890,0.0026,1.0000
235,2024-06-17T11:11:58.848225,0.0154,0.9961
240,2024-06-17T11:11:59.470825,0.0000,1.0000
245,2024-06-17T11:12:00.307208,0.0004,1.0000
250,2024-06-17T11:12:01.118192,0.0001,1.0000
255,2024-06-17T11:12:02.115559,0.0000,1.0000
260,2024-06-17T11:12:02.876258,0.0001,1.0000
265,2024-06-17T11:12:03.717656,0.0046,0.9961
270,2024-06-17T11:12:04.343037,0.0006,1.0000
275,2024-06-17T11:12:05.151696,0.0780,0.9961
280,2024-06-17T11:12:05.852038,0.0000,1.0000
285,2024-06-17T11:12:06.734605,0.0015,1.0000
290,2024-06-17T11:12:07.449753,0.0015,1.0000
295,2024-06-17T11:12:08.416623,0.0008,1.0000
300,2024-06-17T11:12:09.117802,0.0013,1.0000
305,2024-06-17T11:12:09.986663,0.0092,0.9961
310,2024-06-17T11:12:10.662043,0.0349,0.9961
315,2024-06-17T11:12:11.585789,0.0026,1.0000
320,2024-06-17T11:12:12.238204,0.0018,1.0000
325,2024-06-17T11:12:13.094597,0.0018,1.0000
330,2024-06-17T11:12:13.732262,0.0322,0.9961
335,2024-06-17T11:12:14.737500,0.0001,1.0000
340,2024-06-17T11:12:15.442544,0.0013,1.0000
345,2024-06-17T11:12:16.268868,0.0164,0.9961
350,2024-06-17T11:12:16.890477,0.0019,1.0000
355,2024-06-17T11:12:17.747537,0.0017,1.0000
360,2024-06-17T11:12:18.489436,0.0004,1.0000
365,2024-06-17T11:12:19.418024,0.0001,1.0000
370,2024-06-17T11:12:20.126499,0.0064,0.9961
375,2024-06-17T11:12:21.064003,0.0081,0.9961
380,2024-06-17T11:12:21.756475,0.0011,1.0000
385,2024-06-17T11:12:22.631083,0.0215,0.9961
390,2024-06-17T11:12:23.312113,0.0033,1.0000
395,2024-06-17T11:12:24.155544,0.0129,0.9961
400,2024-06-17T11:12:24.975028,0.0163,0.9961
405,2024-06-17T11:12:25.883136,0.0015,1.0000
410,2024-06-17T11:12:26.568921,0.0001,1.0000
415,2024-06-17T11:12:27.413818,0.0001,1.0000
420,2024-06-17T11:12:28.110090,0.0004,1.0000
425,2024-06-17T11:12:29.020441,0.0003,1.0000
430,2024-06-17T11:12:29.669838,0.0064,0.9961
435,2024-06-17T11:12:30.535228,0.0000,1.0000
440,2024-06-17T11:12:31.211886,0.0002,1.0000
445,2024-06-17T11:12:32.082261,0.0000,1.0000
450,2024-06-17T11:12:32.680912,0.0010,1.0000
455,2024-06-17T11:12:33.546494,0.0001,1.0000
460,2024-06-17T11:12:34.156378,0.0003,1.0000
465,2024-06-17T11:12:34.998348,0.0066,0.9961
470,2024-06-17T11:12:35.630971,0.0004,1.0000
475,2024-06-17T11:12:36.571486,0.0059,0.9961
480,2024-06-17T11:12:37.234513,0.0016,1.0000
485,2024-06-17T11:12:38.109986,0.0017,1.0000
490,2024-06-17T11:12:38.855517,0.0000,1.0000
495,2024-06-17T11:12:39.802979,0.0005,1.0000
500,2024-06-17T11:12:40.509085,0.0000,1.0000
505,2024-06-17T11:12:41.328608,0.0000,1.0000
510,2024-06-17T11:12:42.050432,0.0002,1.0000
515,2024-06-17T11:12:42.913398,0.0011,1.0000
520,2024-06-17T11:12:43.549047,0.0028,1.0000
525,2024-06-17T11:12:44.556472,0.0002,1.0000
530,2024-06-17T11:12:45.245288,0.0008,1.0000
535,2024-06-17T11:12:46.153616,0.0000,1.0000
540,2024-06-17T11:12:46.786296,0.0004,1.0000
545,2024-06-17T11:12:47.694980,0.0011,1.0000
550,2024-06-17T11:12:48.356455,0.0001,1.0000
555,2024-06-17T11:12:49.277859,0.0006,1.0000
560,2024-06-17T11:12:49.949524,0.0289,0.9961
565,2024-06-17T11:12:50.917348,0.0000,1.0000
570,2024-06-17T11:12:51.579127,0.0000,1.0000
575,2024-06-17T11:12:52.433324,0.0001,1.0000
580,2024-06-17T11:12:53.061349,0.0010,1.0000
585,2024-06-17T11:12:53.895843,0.0000,1.0000
590,2024-06-17T11:12:54.574622,0.0002,1.0000
595,2024-06-17T11:12:55.454198,0.0000,1.0000
600,2024-06-17T11:12:56.036547,0.0005,1.0000
605,2024-06-17T11:12:56.875985,0.0001,1.0000
610,2024-06-17T11:12:57.552571,0.0000,1.0000
615,2024-06-17T11:12:58.457496,0.0000,1.0000
620,2024-06-17T11:12:59.144653,0.0000,1.0000
625,2024-06-17T11:13:00.159681,0.0060,0.9961
630,2024-06-17T11:13:00.820808,0.0003,1.0000
635,2024-06-17T11:13:01.763553,0.0001,1.0000
640,2024-06-17T11:13:02.477820,0.0001,1.0000
645,2024-06-17T11:13:03.389742,0.0120,0.9961
650,2024-06-17T11:13:04.122295,0.0032,1.0000
655,2024-06-17T11:13:05.060378,0.0004,1.0000
660,2024-06-17T11:13:05.749742,0.0001,1.0000
665,2024-06-17T11:13:06.567438,0.0119,0.9961
670,2024-06-17T11:13:07.191932,0.0010,1.0000
675,2024-06-17T11:13:08.119881,0.0157,0.9961
680,2024-06-17T11:13:08.707334,0.0002,1.0000
685,2024-06-17T11:13:09.596892,0.0002,1.0000
690,2024-06-17T11:13:10.302302,0.0000,1.0000
695,2024-06-17T11:13:11.211819,0.0044,1.0000
700,2024-06-17T11:13:11.908652,0.0017,1.0000
705,2024-06-17T11:13:12.675483,0.0118,0.9961
710,2024-06-17T11:13:13.310742,0.0001,1.0000
715,2024-06-17T11:13:14.165808,0.0001,1.0000
720,2024-06-17T11:13:14.852761,0.0014,1.0000
725,2024-06-17T11:13:15.643797,0.0002,1.0000
730,2024-06-17T11:13:16.314294,0.0000,1.0000
735,2024-06-17T11:13:17.174611,0.0001,1.0000
740,2024-06-17T11:13:17.864682,0.0001,1.0000
745,2024-06-17T11:13:18.733230,0.0002,1.0000
750,2024-06-17T11:13:19.486051,0.0180,0.9961
755,2024-06-17T11:13:20.255200,0.0002,1.0000
760,2024-06-17T11:13:20.835366,0.0003,1.0000
765,2024-06-17T11:13:21.786481,0.0001,1.0000
770,2024-06-17T11:13:22.471708,0.0001,1.0000
